Date,TCS,Reliance,HDFC,SBI
2017-12-28,1175.895263671875,910.159851,921.255615,290.279755
2017-12-29,1209.1314697265625,907.057678,918.483948,291.691589
2018-01-01,1184.244140625,895.92926,909.703308,289.056152
2018-01-02,1177.7979736328125,897.308044,918.459412,285.432343
2018-01-03,1181.1326904296875,900.902649,908.795837,285.055878
2018-01-04,1189.3916015625,906.319092,912.352173,290.373871
2018-01-05,1203.760009765625,909.224243,914.167236,288.35022
2018-01-08,1215.040283203125,914.443665,912.695618,287.83252
2018-01-09,1212.623291015625,926.655334,914.216248,286.420624
2018-01-10,1256.3118896484375,928.033997,914.461609,283.408691
2018-01-11,1249.10498046875,923.503967,918.557556,284.444061
2018-01-12,1242.7711181640625,934.583069,915.001221,284.491119
2018-01-15,1229.230224609375,934.730774,930.919128,284.820557
2018-01-16,1276.1192626953125,908.928772,932.096436,278.749512
2018-01-17,1293.173583984375,910.455261,927.362732,289.056152
2018-01-18,1306.266845703125,905.728149,948.848328,285.432343
2018-01-19,1324.664306640625,917.151855,957.628906,291.079803
2018-01-22,1398.2943115234375,956.741272,963.098389,288.491425
2018-01-23,1391.8333740234375,968.312744,957.1875,299.409821
2018-01-24,1424.408203125,951.669434,960.302368,310.51651
2018-01-25,1400.3807373046875,951.226318,968.788635,294.750671
2018-01-29,1435.2886962890625,949.847595,980.904968,293.76236
2018-01-30,1414.6488037109375,935.961853,978.869263,295.127136
2018-01-31,1396.47705078125,946.696228,983.872681,294.844818
2018-02-01,1408.2554931640625,929.51123,976.735413,288.06781
2018-02-02,1415.0078125,890.611328,955.568665,279.879028
2018-02-05,1392.3720703125,888.444763,938.816711,280.537842
2018-02-06,1344.8331298828125,878.547424,930.453125,274.608032
2018-02-07,1325.8983154296875,880.8125,918.680176,275.596344
2018-02-08,1334.490966796875,890.808289,922.67804,283.69104
2018-02-09,1333.3687744140625,884.210083,907.25061,278.984802
2018-02-12,1331.3948974609375,901.59198,920.568787,271.784302
2018-02-14,1306.4925537109375,919.466248,923.757324,259.97171
2018-02-15,1312.7969970703125,921.435913,923.144043,262.324829
2018-02-16,1316.02685546875,907.303833,921.525269,255.689011
2018-02-19,1311.787109375,912.917236,921.329041,252.724106
2018-02-20,1321.27685546875,907.106934,913.970947,253.806549
2018-02-21,1365.04638671875,915.231567,911.125916,257.242065
2018-02-22,1368.5908203125,910.307434,909.065613,256.583221
2018-02-23,1380.0775146484375,920.05719,922.481873,259.830475
2018-02-26,1360.290283203125,924.439514,937.688538,258.324554
2018-02-27,1365.06884765625,936.060303,933.273743,251.876999
2018-02-28,1361.7933349609375,940.048767,924.272278,252.253479
2018-03-01,1362.982666015625,933.992188,919.440491,246.747192
2018-03-05,1393.56103515625,910.06134,917.282104,248.017883
2018-03-06,1365.2708740234375,897.012573,905.656372,241.476227
2018-03-07,1358.38330078125,876.233154,898.960571,232.157898
2018-03-08,1347.8394775390625,897.603516,908.89386,241.711533
2018-03-09,1361.3671875,899.228394,908.010986,238.370132
2018-03-12,1369.466064453125,916.167114,915.957703,237.993652
2018-03-13,1295.2752685546875,917.693542,912.523926,239.73494
2018-03-14,1295.3199462890625,914.936096,914.608765,241.946854
2018-03-15,1287.6026611328125,897.948181,922.604492,238.793701
2018-03-16,1267.8603515625,886.376648,908.967468,237.475937
2018-03-19,1270.2384033203125,881.895813,906.146912,233.381531
2018-03-20,1285.426513671875,876.28241,902.345215,234.463974
2018-03-21,1281.7921142578125,883.274597,911.861694,233.428589
2018-03-22,1270.395263671875,894.353638,916.202942,227.35759
2018-03-23,1264.472900390625,880.32019,903.350891,221.004181
2018-03-26,1263.956787109375,887.410706,928.809692,232.016724
2018-03-27,1277.7315673828125,886.130432,928.392822,239.405502
2018-03-28,1278.38232421875,869.290222,925.204346,235.216949
2018-04-02,1305.5279541015625,879.384521,947.327576,231.687302
2018-04-03,1306.2457275390625,885.884277,939.822327,235.781708
2018-04-04,1306.08837890625,881.304932,923.806274,232.76973
2018-04-05,1327.199462890625,894.402832,936.388672,244.064667
2018-04-06,1323.766845703125,897.160339,943.501404,244.441193
2018-04-09,1311.921630859375,902.084351,951.178406,245.335342
2018-04-10,1318.069091796875,903.118408,942.250549,247.829636
2018-04-11,1352.416259765625,916.70874,941.26947,241.946854
2018-04-12,1408.5467529296875,914.591492,946.15033,238.887817
2018-04-13,1414.850830078125,924.587219,944.286255,236.205276
2018-04-16,1430.2633056640625,922.814575,952.6745,234.369843
2018-04-17,1420.8184814453125,929.905212,955.813965,233.569778
2018-04-18,1417.453369140625,923.750183,948.014404,231.969666
2018-04-19,1431.833984375,927.984802,951.153809,231.687302
2018-04-20,1526.6417236328125,913.803589,959.44397,227.028137
2018-04-23,1529.423583984375,921.780518,949.55957,228.204697
2018-04-24,1519.1038818359375,955.313293,949.191711,226.463409
2018-04-25,1557.0628662109375,955.75647,942.201477,223.263168
2018-04-26,1588.0223388671875,960.532776,946.861572,219.498169
2018-04-27,1548.851806640625,981.16449,943.501404,228.345886
2018-04-30,1584.8140869140625,948.665771,953.753662,231.922607
2018-05-02,1570.299072265625,957.923035,966.115234,226.83989
2018-05-03,1562.2677001953125,946.991577,965.330383,227.687012
2018-05-04,1561.774169921875,939.457825,975.435425,227.734085
2018-05-07,1534.9423828125,956.248779,969.99054,232.016724
2018-05-08,1544.0283203125,952.40802,964.913452,235.358154
2018-05-09,1565.6103515625,961.862244,970.481079,233.428589
2018-05-10,1548.5379638671875,966.244629,977.495728,233.381531
2018-05-11,1551.0953369140625,974.221619,986.840454,235.640533
2018-05-14,1540.595947265625,971.611816,991.74585,238.69957
2018-05-15,1562.5142822265625,964.078064,999.61908,233.428589
2018-05-16,1567.6744384765625,941.62439,992.530701,228.816513
2018-05-17,1566.732177734375,930.988464,994.689087,228.440018
2018-05-18,1571.331298828125,919.663147,987.036743,224.816223
2018-05-21,1595.87451171875,917.201111,977.667419,230.087173
2018-05-22,1574.40478515625,912.671082,976.122253,238.981949
2018-05-23,1568.212890625,898.391357,965.134155,247.735519
2018-05-24,1616.9404296875,901.936584,974.209106,252.724106
2018-05-25,1608.908935546875,906.811401,985.344238,251.265182
2018-05-28,1571.331298828125,906.417603,1001.777344,256.065521
2018-05-29,1580.955810546875,903.512329,997.068176,248.770859
2018-05-30,1576.738037109375,902.182861,1004.794312,251.45343
2018-05-31,1575.3804931640625,907.353027,1056.185425,253.712402
2018-06-01,1567.5987548828125,916.413269,1041.943115,251.029892
2018-06-04,1578.2757568359375,926.556824,1010.150513,247.547256
2018-06-05,1557.7813720703125,933.25354,1018.740356,248.064941
2018-06-06,1561.5364990234375,939.901062,1015.654968,254.277145
2018-06-07,1570.40380859375,956.593506,1018.049255,253.806549
2018-06-08,1580.855224609375,969.395996,1011.705627,256.959717
2018-06-11,1583.20751953125,967.721863,1008.22522,257.90094
2018-06-12,1611.529296875,982.001587,1008.990417,266.230957
2018-06-13,1650.5279541015625,987.270325,1002.868835,270.796021
2018-06-14,1617.4559326171875,992.637573,1005.806274,265.995667
2018-06-15,1664.960205078125,998.792603,1001.955627,261.148254
2018-06-18,1654.9620361328125,1000.12207,996.796692,260.583496
2018-06-19,1650.889892578125,980.918213,998.944153,256.583221
2018-06-20,1649.034912109375,1003.765808,1015.0625,257.242065
2018-06-21,1646.2301025390625,1016.272766,1015.778442,252.86528
2018-06-22,1637.5888671875,997.118347,1028.490601,257.006775
2018-06-25,1646.1395263671875,989.190674,1034.217041,252.677048
2018-06-26,1675.7734375,964.078064,1033.599976,251.688736
2018-06-27,1681.202392578125,956.987366,1042.93042,246.323639
2018-06-28,1667.3580322265625,936.279175,1051.939819,241.899811
2018-06-29,1671.927490234375,963.526794,1040.88147,244.11174
2018-07-02,1675.184814453125,951.785522,1023.504333,243.641098
2018-07-03,1695.7249755859375,962.387329,1021.998718,242.370422
2018-07-04,1688.5765380859375,981.014832,1038.462646,242.32338
2018-07-05,1701.3802490234375,955.64978,1048.434692,241.382126
2018-07-06,1730.923583984375,968.580017,1044.189087,242.088058
2018-07-09,1703.8232421875,987.950623,1049.372803,246.182465
2018-07-10,1696.675048828125,1016.288147,1059.616455,248.253204
2018-07-11,1791.5028076171875,1029.267944,1060.529663,243.876404
2018-07-12,1783.7666015625,1072.418335,1069.267822,247.311951
2018-07-13,1792.5887451171875,1089.708252,1076.648071,242.605728
2018-07-16,1799.9180908203125,1066.324707,1070.699341,236.817093
2018-07-17,1815.2860107421875,1082.326538,1074.599365,243.82933
2018-07-18,1813.5635986328125,1082.52478,1074.327881,244.299957
2018-07-19,1796.472412109375,1094.711792,1079.21521,244.911789
2018-07-20,1810.2540283203125,1118.293579,1080.671509,246.135406
2018-07-23,1818.4593505859373,1110.020142,1064.577759,250.700439
2018-07-24,1812.43017578125,1100.755859,1066.206909,251.171051
2018-07-25,1796.5631103515625,1104.91748,1071.439941,255.877289
2018-07-26,1781.3314208984375,1100.45874,1082.424072,270.796021
2018-07-27,1762.33642578125,1119.482422,1087.138672,269.901794
